date,day_of_week,is_weekday,public_holiday
2010-03-01,Monday,TRUE,FALSE
2010-03-02,Tuesday,TRUE,FALSE
2010-03-03,Wednesday,TRUE,FALSE
2010-03-04,Thursday,TRUE,FALSE
2010-03-05,Friday,TRUE,FALSE
2010-03-06,Saturday,FALSE,FALSE
2010-03-07,Sunday,FALSE,FALSE
2010-03-08,Monday,TRUE,FALSE
2010-03-09,Tuesday,TRUE,FALSE
2010-03-10,Wednesday,TRUE,FALSE
2010-03-11,Thursday,TRUE,FALSE
2010-03-12,Friday,TRUE,FALSE
2010-03-13,Saturday,FALSE,FALSE
2010-03-14,Sunday,FALSE,FALSE
2010-03-15,Monday,TRUE,FALSE
2010-03-16,Tuesday,TRUE,FALSE
2010-03-17,Wednesday,TRUE,FALSE
2010-03-18,Thursday,TRUE,FALSE
2010-03-19,Friday,TRUE,FALSE
2010-03-20,Saturday,FALSE,FALSE
2010-03-21,Sunday,FALSE,FALSE
2010-03-22,Monday,TRUE,FALSE
2010-03-23,Tuesday,TRUE,FALSE
2010-03-24,Wednesday,TRUE,FALSE
2010-03-25,Thursday,TRUE,FALSE
2010-03-26,Friday,TRUE,FALSE
2010-03-27,Saturday,FALSE,FALSE
2010-03-28,Sunday,FALSE,FALSE
2010-03-29,Monday,TRUE,FALSE
2010-03-30,Tuesday,TRUE,FALSE
2010-03-31,Wednesday,TRUE,FALSE
2013-08-01,Thursday,TRUE,FALSE
2013-08-02,Friday,TRUE,FALSE
2013-08-03,Saturday,FALSE,FALSE
2013-08-04,Sunday,FALSE,FALSE
2013-08-05,Monday,TRUE,FALSE
2013-08-06,Tuesday,TRUE,FALSE
2013-08-07,Wednesday,TRUE,FALSE
2013-08-08,Thursday,TRUE,FALSE
2013-08-09,Friday,TRUE,FALSE
2013-08-10,Saturday,FALSE,FALSE
2013-08-11,Sunday,FALSE,FALSE
2013-08-12,Monday,TRUE,FALSE
2013-08-13,Tuesday,TRUE,FALSE
2013-08-14,Wednesday,TRUE,FALSE
2013-08-15,Thursday,TRUE,FALSE
2013-08-16,Friday,TRUE,FALSE
2013-08-17,Saturday,FALSE,FALSE
